Word,Count,Probability,Direction
الشارع المحلي تسويق,1,0.1111111111111111,3
يضطلع بمهمة التخطيط,1,1.0,3
والكردية الذي,2,1.0,2
غير المبرر,1,0.018518518518518517,2
آخر والأنكى,1,0.034482758620689655,2
بعطائها,1,0.0,1
الموظف للإجازات المرضية,1,0.0625,3
البرنامج ومستخدمة,1,0.125,2
حدوث تراجع في,1,0.2,3
فيها من قبل,1,0.023809523809523808,3
نتعرف على,1,1.0,2
عبوة فيه مشيرين,1,0.3333333333333333,3
ووزيرها,1,0.0,1
الانفعال,1,0.0,1
قائد في,1,0.25,2
وأضافت أنه,1,0.14285714285714285,2
مثل الإجازة السنوية,1,0.03125,3
البدء بتوزيع,1,0.25,2
بجراح وتجريف عشرات,1,0.5,3
أمس سبعة من,1,0.020833333333333332,3
الأعمال,34,0.0,1
وقعت فيها خلال,1,0.3333333333333333,3
والاقتراح,2,0.0,1
تعليق على ما,1,0.25,3
تتعلق بالكهرباء,1,0.3333333333333333,2
إنه يؤيد,1,0.125,2
الجمعيات المتخصصة,1,0.043478260869565216,2
الأموال على,2,0.10526315789473684,2
كريمة لهم,1,0.3333333333333333,2
بإحكام وانضباطية عالية,1,1.0,3
حصة الدول,1,0.3333333333333333,2
بانتظار الحصول,1,1.0,2
نأمل أن تكون,1,0.3333333333333333,3
الدولية مثل الدولار,1,0.025,3
عاما من الزمان,1,0.07692307692307693,3
اللوم د الحرمان,2,1.0,3
الأمر والتقدم,1,0.09090909090909091,2
بمملكة البحرين خلال,1,0.2,3
وطويلة,1,0.0,1
مجال إتمام,1,0.034482758620689655,2
الذي يقضي,1,0.005813953488372093,2
واضح للتنمية وليس,1,0.25,3
سها با حجري,1,1.0,3
يمر به من,1,0.3333333333333333,3
المؤتمر والمشاركين,1,0.02564102564102564,2
تداول,1,0.0,1
سلبيات,1,0.0,1
مع الاستثمار,1,0.005747126436781609,2
فيما أكد النائب,1,0.038461538461538464,3
يتجاوز الإجابة,1,0.1111111111111111,2
صباحا تبدأ,1,0.2,2
مسئولي هيونداي,1,1.0,2
تليها ورقة عن,1,0.5,3
اي تأكيدات,1,0.058823529411764705,2
بمصر بعنوان,1,0.3333333333333333,2
استمرار الحياة,1,0.125,2
على سرية تفاصيل,1,0.001483679525222552,3
التدريب أي أكثر,1,0.25,3
يونيو عثر فريق,1,0.3333333333333333,3
والذي يغطي,1,0.037037037037037035,2
المدينة من جهة,1,0.06666666666666667,3
من الدول الاوروبية,1,8.163265306122449E-4,3
السمو الشيخ سلمان,4,0.3076923076923077,3
على حدة,1,0.001483679525222552,2
ان أولوية,1,0.002369668246445498,2
صعوبة الرؤية,1,0.5,2
ضوء نتائج,1,0.08333333333333333,2
عشرة اشخاص حتى,2,1.0,3
بالدولة وكرامة,1,1.0,2
جهدها لإنجاح,1,1.0,2
أنه بحاجة إلى,1,0.041666666666666664,3
تماما,6,0.0,1
يعيد,2,0.0,1
به شركات كويتية,1,0.02564102564102564,3
وافق مجلس,2,0.3333333333333333,2
من ان يوقف,1,8.163265306122449E-4,3
اشعار آخر,3,1.0,2
العراقي الذي يقع,2,1.0,3
أجل دفع هذا,1,0.04,3
الاصالة أوضح,1,0.3333333333333333,2
اسمه,2,0.0,1
وحبه وولعه,1,1.0,2
علي العبار وحسين,1,0.021739130434782608,3
ما يتعلق منها,1,0.005988023952095809,3
أمامها وشدد على,1,1.0,3
اشاد,1,0.0,1
على النفط فمن,1,0.001483679525222552,3
انني وضعت,1,0.3333333333333333,2
اشار,1,0.0,1
للجنة,3,0.0,1
هو اعفاء,1,0.011235955056179775,2
عبر العالم,1,0.08333333333333333,2
مشاركة فاعلة في,1,0.25,3
حماد أحد,1,0.5,2
الاستثمارية والتجارية,1,0.3333333333333333,2
وإنما على الدول,1,0.14285714285714285,3
اس لإتمام,1,0.25,2
كما ألقى السيد,2,1.0,3
العرادي كلف,1,0.125,2
على صفحات الصحف,1,0.001483679525222552,3
انبعاثات غازات الدفيئة,1,0.25,3
وراق لكي يستفيد,1,1.0,3
الى الخارج كل,1,0.0038314176245210726,3
لمنتجات الألبان,1,0.5,2
وافاد شهود,2,1.0,2
ل من لائحة,1,0.5,3
بهدف كسب المؤيدين,1,0.1,3
او فكره,1,0.041666666666666664,2
يحرصون,1,0.0,1
ومن مسحة,1,0.02040816326530612,2
تكوين رأس,1,0.2,2
ان معظم,1,0.002369668246445498,2
والتمثيليات والمشاغبات,1,1.0,2
قائلا يسعدنا جدا,1,0.03333333333333333,3
أو التنمية البشرية,1,0.00641025641025641,3
عادل المعاودة كرامة,1,0.125,3
مؤتمر القادة العالمي,1,0.06666666666666667,3
فئاته,1,0.0,1
